algorithm,security_level,operation,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,pub_key_bytes,priv_key_bytes,sig_bytes
RSA-3072,classical,keygen,110.476464,92.740138,71.282768,246.014834,351.366676,0,384,1679,384
RSA-3072,classical,sign,0.514985,0.500399,0.065412,0.544863,0.861549,0,384,1679,384
RSA-3072,classical,verify,0.025740,0.025560,0.000875,0.026130,0.031430,0,384,1679,384
ECDSA-P256,classical,keygen,0.008727,0.008685,0.000305,0.008829,0.009530,0,65,121,72
ECDSA-P256,classical,sign,0.013598,0.013520,0.000494,0.013600,0.016430,0,65,121,72
ECDSA-P256,classical,verify,0.042435,0.042160,0.001011,0.045060,0.046400,0,65,121,72
