algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
ML-DSA-44 (Dilithium2),2,keygen,53230.66,53303.00,362.42,53670.00,53935.00,0.012932,0.012880,0.000441,0.013020,0.015050,0,-1.000,1312,2560,2420
ML-DSA-44 (Dilithium2),2,sign,167320.11,140286.50,92011.37,370126.00,442267.00,0.037755,0.030880,0.019634,0.078478,0.092359,0,-1.000,1312,2560,2420
ML-DSA-44 (Dilithium2),2,verify,56437.91,56403.50,212.64,56617.00,57430.00,0.013344,0.013260,0.000448,0.013350,0.016210,0,-1.000,1312,2560,2420
ML-DSA-44 (Dilithium2),2,verify_invalid,56397.81,56371.50,195.90,56568.00,57270.00,0.013296,0.013259,0.000258,0.013299,0.014240,0,-1.000,1312,2560,2420
