algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
ML-DSA-87 (Dilithium5),5,keygen,135639.49,135653.50,531.72,136326.00,137025.00,0.029607,0.029510,0.000555,0.029779,0.032389,0,-1.000,2592,4896,4627
ML-DSA-87 (Dilithium5),5,sign,318072.11,273185.50,150069.37,608275.00,809835.00,0.066608,0.057649,0.030484,0.125078,0.165698,0,-1.000,2592,4896,4627
ML-DSA-87 (Dilithium5),5,verify,134499.87,134480.00,377.79,134866.00,136148.00,0.029127,0.029034,0.000492,0.029129,0.031500,0,-1.000,2592,4896,4627
ML-DSA-87 (Dilithium5),5,verify_invalid,134525.80,134519.50,367.74,134872.00,136179.00,0.029121,0.029039,0.000455,0.029340,0.031669,0,-1.000,2592,4896,4627
