algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
Falcon-512,1,keygen,45564552.75,40379062.00,14184056.79,78248028.00,87462407.00,8.871810,7.863126,2.761587,15.232599,17.027958,0,-1.000,897,1281,752
Falcon-512,1,sign,13445557.19,13443223.00,32028.76,13506966.00,13513239.00,2.619336,2.618771,0.006549,2.631355,2.633165,0,-1.000,897,1281,655
Falcon-512,1,verify,118966.91,118723.50,2065.69,118956.00,120436.00,0.024941,0.024839,0.000700,0.025030,0.027649,0,-1.000,897,1281,654
Falcon-512,1,verify_invalid,118977.63,118801.50,519.72,120051.00,120985.00,0.024963,0.024850,0.000513,0.025150,0.027830,0,-1.000,897,1281,654
