algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
Falcon-512,1,keygen,21149191.33,19335958.00,6123949.62,32063734.00,45222959.00,4.120816,3.766730,1.193129,6.242243,8.804719,0,-1.000,897,1281,752
Falcon-512,1,sign,573830.75,572635.50,6109.44,583573.00,589029.00,0.114596,0.114258,0.001537,0.117528,0.118158,0,-1.000,897,1281,655
Falcon-512,1,verify,124524.69,124477.50,419.28,124989.00,126060.00,0.026018,0.025919,0.000463,0.026630,0.028460,0,-1.000,897,1281,652
Falcon-512,1,verify_invalid,124305.09,124279.00,320.12,124570.00,125964.00,0.025976,0.025884,0.000517,0.025969,0.028920,0,-1.000,897,1281,652
