algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
SLH-DSA-SHAKE-128s (SPHINCS+),1,keygen,347971221.80,347932270.50,300189.24,348492109.00,348952327.00,69.772788,69.760103,0.062907,69.888327,69.958525,0,-1.000,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,sign,2678091469.38,2678871610.00,14519811.96,2682437459.00,2686099859.00,537.050995,537.159461,3.055199,537.886928,538.948035,0,-1.000,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,verify,2579516.91,2580090.50,2797.69,2583383.00,2584269.00,0.519338,0.519641,0.002040,0.522651,0.524551,0,-1.000,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,verify_invalid,2704488.70,2703848.50,3977.49,2710824.00,2716706.00,0.544387,0.544456,0.002124,0.549010,0.549810,0,-1.000,32,64,7856
