algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
SLH-DSA-SHA2-128s (SPHINCS+),1,keygen,261699492.17,261710631.00,56685.87,261768798.00,261808692.00,145.563703,145.557491,0.055725,145.653129,145.681056,0,-1.000,32,64,7856
SLH-DSA-SHA2-128s (SPHINCS+),1,sign,2000552883.59,2000556535.00,98540.47,2000684704.00,2000780020.00,1112.679191,1112.657309,0.112337,1112.853221,1113.015984,0,-1.000,32,64,7856
SLH-DSA-SHA2-128s (SPHINCS+),1,verify,2088804.01,2088698.50,526.29,2089814.00,2090112.00,1.165945,1.164212,0.002993,1.171795,1.174739,0,-1.000,32,64,7856
SLH-DSA-SHA2-128s (SPHINCS+),1,verify_invalid,1968662.92,1968621.50,478.87,1969540.00,1969844.00,1.098922,1.097498,0.002509,1.102869,1.104573,0,-1.000,32,64,7856
