algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
ML-DSA-87 (Dilithium5),5,keygen,852524.28,853172.50,3413.40,856137.00,857851.00,0.480075,0.479407,0.003922,0.488093,0.491778,0,-1.000,2592,4896,4627
ML-DSA-87 (Dilithium5),5,sign,2209926.05,1804104.00,1221315.99,4711408.00,5648240.00,1.235442,1.007964,0.679777,2.629889,3.149611,0,-1.000,2592,4896,4627
ML-DSA-87 (Dilithium5),5,verify,861475.11,861144.50,914.20,863979.00,864299.00,0.483938,0.482834,0.002770,0.490741,0.492982,0,-1.000,2592,4896,4627
ML-DSA-87 (Dilithium5),5,verify_invalid,861305.47,860864.00,1596.87,863626.00,864856.00,0.483811,0.482759,0.002721,0.490722,0.492056,0,-1.000,2592,4896,4627
