algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
ML-DSA-44 (Dilithium2),2,keygen,315223.67,314884.00,2943.04,319277.00,326915.00,0.181168,0.180435,0.003354,0.187130,0.194148,0,-1.000,1312,2560,2420
ML-DSA-44 (Dilithium2),2,sign,1166176.97,959545.50,611122.16,2632934.00,2979373.00,0.656351,0.538852,0.340941,1.469649,1.661315,0,-1.000,1312,2560,2420
ML-DSA-44 (Dilithium2),2,verify,327194.37,325182.00,5146.28,338695.00,343010.00,0.187076,0.185037,0.005581,0.202741,0.208000,0,-1.000,1312,2560,2420
ML-DSA-44 (Dilithium2),2,verify_invalid,325895.94,324771.00,3543.12,332111.00,342064.00,0.186129,0.184796,0.003880,0.195760,0.201463,0,-1.000,1312,2560,2420
