algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
Falcon-512,1,keygen,30953389.17,27734482.50,8438363.49,46986610.00,59298271.00,17.229028,15.434306,4.693848,26.156448,32.994907,0,-1.000,897,1281,752
Falcon-512,1,sign,1136708.45,1136163.00,11524.88,1153198.00,1164775.00,0.638771,0.637759,0.007159,0.652444,0.654833,0,-1.000,897,1281,651
Falcon-512,1,verify,166095.75,166045.00,194.60,166303.00,166859.00,0.096731,0.096555,0.001090,0.096722,0.102241,0,-1.000,897,1281,657
Falcon-512,1,verify_invalid,165820.03,165769.00,237.57,166168.00,166651.00,0.096606,0.096389,0.001386,0.096611,0.102278,0,-1.000,897,1281,657
