algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
Falcon-1024,5,keygen,191270136.76,164917686.50,78517620.47,339335321.00,510334015.00,106.411789,91.753269,43.693353,188.816296,284.175629,0,-1.000,1793,2305,1462
Falcon-1024,5,sign,39585618.73,39585280.00,48756.99,39662829.00,39680504.00,22.031006,22.032277,0.032960,22.096722,22.106259,0,-1.000,1793,2305,1272
Falcon-1024,5,verify,448250.39,448115.50,478.75,449195.00,450356.00,0.253515,0.253092,0.001559,0.258685,0.259908,0,-1.000,1793,2305,1271
Falcon-1024,5,verify_invalid,447331.52,447207.50,420.15,448478.00,448559.00,0.252941,0.252556,0.001408,0.258092,0.258482,0,-1.000,1793,2305,1271
