algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
Falcon-512,1,keygen,64928821.77,54844680.00,24903879.68,117713016.00,149328938.00,36.130501,30.535148,13.857114,65.510037,83.083388,0,-1.000,897,1281,752
Falcon-512,1,sign,18132775.48,18130753.50,41829.07,18200200.00,18229570.00,10.100364,10.099500,0.032472,10.145778,10.176649,0,-1.000,897,1281,654
Falcon-512,1,verify,223833.60,223772.50,263.89,224509.00,224991.00,0.128681,0.128472,0.000984,0.129222,0.134130,0,-1.000,897,1281,653
Falcon-512,1,verify_invalid,223796.60,223723.50,292.26,224469.00,224951.00,0.128653,0.128408,0.001199,0.129111,0.134371,0,-1.000,897,1281,653
