algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
SLH-DSA-SHAKE-128s (SPHINCS+),1,keygen,661809837.23,661769569.00,1093743.33,661830951.00,661869515.00,368.094069,368.028576,0.654082,368.280315,368.605053,0,-1.000,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,sign,5086509106.49,5086098716.00,2182302.15,5090792693.00,5093522314.00,2828.971206,2828.657872,1.247691,2831.414531,2832.872455,0,-1.000,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,verify,4816463.23,4816431.50,555.23,4816850.00,4818612.00,2.684118,2.684004,0.008416,2.687948,2.729059,0,-1.000,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,verify_invalid,4850879.26,4850875.00,325.08,4851250.00,4851540.00,2.702079,2.703060,0.003166,2.704651,2.710819,0,-1.000,32,64,7856
