algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
ML-DSA-65 (Dilithium3),3,keygen,570980.00,566726.00,11268.08,596837.00,612330.00,0.324247,0.320315,0.010003,0.345222,0.355667,0,-1.000,1952,4032,3309
ML-DSA-65 (Dilithium3),3,sign,1785867.77,1482244.00,1056104.10,3867259.00,4708694.00,1.004555,0.829102,0.591490,2.160556,2.621537,0,-1.000,1952,4032,3309
ML-DSA-65 (Dilithium3),3,verify,525288.20,525100.00,640.76,527440.00,527722.00,0.296782,0.296148,0.002013,0.303111,0.303908,0,-1.000,1952,4032,3309
ML-DSA-65 (Dilithium3),3,verify_invalid,524422.74,524243.50,914.23,526428.00,527490.00,0.296481,0.295667,0.003641,0.303037,0.305371,0,-1.000,1952,4032,3309
