algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
SLH-DSA-SHAKE-128s (SPHINCS+),1,keygen,510448338.09,510414708.50,64618.65,510599951.00,510614114.00,283.907006,283.895100,0.089040,284.039025,284.136544,0,-1.000,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,sign,3989669097.90,3989722536.50,563004.70,3990632660.00,3990868489.00,2218.906991,2218.955549,0.375124,2219.521442,2219.959991,0,-1.000,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,verify,4051799.99,4051764.50,496.27,4052564.00,4052719.00,2.257886,2.258795,0.004135,2.261443,2.267258,0,-1.000,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,verify_invalid,3741177.98,3741163.50,618.99,3741946.00,3742693.00,2.085496,2.085693,0.007465,2.087721,2.105813,0,-1.000,32,64,7856
