algorithm,security_level,operation,mean_cycles,median_cycles,std_cycles,p95_cycles,p99_cycles,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,mean_energy_uj,pub_key_bytes,priv_key_bytes,sig_bytes
ML-DSA-65 (Dilithium3),3,keygen,455367.82,455190.50,857.44,457093.00,457857.00,0.258953,0.258084,0.003621,0.265314,0.269703,0,-1.000,1952,4032,3309
ML-DSA-65 (Dilithium3),3,sign,1052578.73,907034.00,566799.32,2422895.00,3047602.00,0.591164,0.509528,0.315429,1.351443,1.698555,0,-1.000,1952,4032,3309
ML-DSA-65 (Dilithium3),3,verify,416578.49,416433.50,559.94,417945.00,418926.00,0.236148,0.235639,0.001904,0.241963,0.243722,0,-1.000,1952,4032,3309
ML-DSA-65 (Dilithium3),3,verify_invalid,416237.05,416055.50,598.71,417884.00,418508.00,0.236005,0.235417,0.002241,0.242093,0.245592,0,-1.000,1952,4032,3309
